全宋诗：高
　　高斯得　题黄岩蔡氏青在亭
　　高斯得　题林屋洞天
　　高斯得　题钱可则芡雪庵
　　高斯得　题天台夏肯甫晓山亭诗
　　高斯得　题同濂阁
　　高斯得　题王茂悦郴州白水奇清园
　　高斯得　题浯溪寺
　　高斯得　题张志山留稿
　　高斯得　题赵致道茅斋
　　高斯得　挽亡弟豫九制参诗
　　高斯得　晚秋
　　高斯得　为温乐堂五绿亭解嘲
　　高斯得　闻杨元极去国
　　高斯得　吴参政挽诗三首
　　高斯得　五月
　　高斯得　五月六日约诸友游北山舟已具而予偶不能出诸友和坡公法华寺诗亦赋
　　高斯得　物贵
　　高斯得　物贵日甚
　　高斯得　西湖竞渡游人有蹂践之厄
　　高斯得　溪亭春日二首
　　高斯得　谢郑如晦饷酒诗
　　高斯得　学诗
　　高斯得　迓杜丞相檥舟白鹤山下有感
　　高斯得　宴建宁知府赵尚书乐语
　　高斯得　要君
　　高斯得　夜坐有感
　　高斯得　饮牡丹
　　高斯得　庸斋再赋予亦再和
　　高斯得　游巾山得晴字
　　高斯得　又中秋分韵得处字
　　高斯得　禹柏行
　　高斯得　园中读书
　　高斯得　再次韵
　　高斯得　增赋
　　高斯得　赠道士刘友鹤
　　高斯得　赠蜀僧钦师
　　高斯得　中秋独坐有感
　　高斯得　自叙六十韵
　　高斯得　邹枢密挽诗
　　高斯得　奏院豫七弟挽诗
　高似孙
　　高似孙　{左酉右仓}蟹
　　高似孙　歡乃辞
　　高似孙　别天台
　　高似孙　别云门
　　高似孙　蔡山渡
　　高似孙　参政钱公山园
　　高似孙　朝丹霞
　　高似孙　次韵陈校书送鹤竹笋诗
　　高似孙　次韵沈台州游桐柏山
　　高似孙　答李才翁
　　高似孙　答癯庵致糟蟹
　　高似孙　答武昌吴广文
　　高似孙　答辛幼安
　　高似孙　答宇文文学
　　高似孙　丹砂歌谢胡史君惠砂床
　　高似孙　都下
　　高似孙　分绣阁夜作二首
　　高似孙　浮冈
　　高似孙　富次律送蟳
　　高似孙　国清寺泉时有绿蟾蹲崖石西
　　高似孙　和居简师韵
　　高似孙　红梅花
　　高似孙　后歡乃辞
　　高似孙　花飞引
　　高似孙　黄居中潇湘图歌
　　高似孙　纪梦
　　高似孙　济钱清江
　　高似孙　寄天台萧练师
　　高似孙　寄桐柏山五尊师
　　高似孙　寄吴钤干
　　高似孙　简石桥僧璧晖
　　高似孙　江强仲郎中送蟹
　　高似孙　江寺丞送蟹
　　高似孙　九怀　苍梧帝
　　高似孙　九怀　鸱夷子皮
　　高似孙　九怀　春游
　　高似孙　九怀　东山
　　高似孙　九怀　江夫人
　　高似孙　九怀　思禹
　　高似孙　九怀　嶀山雨
　　高似孙　九怀　越王台
　　高似孙　九怀　浙水府
　　高似孙　句
　　高似孙　聚景园
　　高似孙　梨花
　　高似孙　李迅甫送蟹
　　高似孙　鹿郎中山居
　　高似孙　梅
　　高似孙　木香
　　高似孙　蓬莱游
　　高似孙　琵琶引
　　高似孙　栖霞宫山斋
　　高似孙　骑鸾引赠句曲山吴道士
　　高似孙　憩昌化民家
　　高似孙　清晓升琼台顶石崖有仙人脚迹
　　高似孙　琼台西路
　　高似孙　秋兰辞
　　高似孙　任贤良归蜀
　　高似孙　入馀杭到
　　高似孙　桑世昌泽卿归天台
　　高似孙　山中雨辞
　　高似孙　石楠
　　高似孙　石桥歌
　　高似孙　石桥纹蕈
　　高似孙　誓蟹羹
　　高似孙　水西
　　高似孙　四圣观
　　高似孙　宋江都研
　　高似孙　天台道中
　　高似孙　天台渡
　　高似孙　同父送松江蟹
　　高似孙　桐柏观阅藏经
　　高似孙　桐柏山黄法师斋
　　高似孙　桐柏山琼台
　　高似孙　桐柏山郑先生斋
　　高似孙　桐柏台夜作
　　高似孙　桐柏郑师归故山
　　高似孙　铜雀砚歌
　　高似孙　嶀台神弦曲
　　高似孙　晚泊江口
　　高似孙　万年山
　　高似孙　王清叔舍人玉寒堂
　　高似孙　吴中致蟹
　　高似孙　小阁
　　高似孙　小山耸桂
　　高似孙　蟹包
　　高似孙　燕文贵山水图
　　高似孙　杨嗣勋惠茯苓
　　高似孙　杨州官满辞后土题玉立亭
　　高似孙　夜宿金庭洞
　　高似孙　夜宿桐伯
　　高似孙　由校中秘书授徽倅道出金陵投留守吴公琚
　　高似孙　游九锁
　　高似孙　再至桐柏山
　　高似孙　赵崇晖送鱼蟹
　　高似孙　赵广德送松江蟹
　　高似孙　赵嘉甫致松江蟹
　　高似孙　赵嘉父送松江蟹
　　高似孙　赵君海惠蟳
　　高似孙　中秋夜登海豹台二绝
　　高似孙　中山雪
　高竦　送梵才大师归天台
　高惟几
　　高惟几　海棠
　　高惟几　送钤辖馆使王公
　高卫　题碧落洞
　高文虎
　　高文虎　次韵江朝宗梅花
　　高文虎　次韵杨少云桂花
　　高文虎　和曾原伯寄超化举长老
